place;club;score
1;Bulgaria;1555
2;Romania;1516
3;Slovenia;1063
4;Serbia;913
5;Croatia;804
6;Moldavia;640
7;Italy;480
8;Turkey;196
9;Republic of Macedonia;95
10;Cyprus;64
