place;club;score
1;Team Bulgaria;1815
2;Team Romania;1486
3;Team Slovenia;1313
4;Team Moldova;1188
5;Team Serbia;833
6;Team Macedonia;578
7;Team Croatia;437
8;Team Bih;210
