place;club;score
1;Bulgaria;2310
2;Romania;2265
3;Slovenia;1601
4;Serbia;1376
5;Croatia;1186
6;Moldavia;941
7;Italy;723
8;Turkey;320
9;Republic of Macedonia;147
10;Cyprus;98
