@SI
Pl;First name;Surname;Time;Short;City;Classifier;
 15.;Alessandro;Ciriani;01:32:05;M55;"FRIULI MTB &amp;0;
 16.;Francesco;Catarin;01:34:30;M55;C.S.I. ORIENTEERING TREVISO;0;
 17.;Antonio;Perazzolo;01:36:58;M55;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 18.;Antonino;Corredig;01:44:59;M55;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 19.;Franco;Gelsomino;01:50:19;M55;ORIENTEERING TRIESTE - A.S.D.;0;
;Marco;Ongaro;mp;M55;U.S. PRIMIERO A.S.D.;3;
;Fulvio;Lenarduzzi;mp;M55;A.S.D. ORIENTEERING SCHOOL FRIULI - O.S.F.;3;
 1.;Giancarlo;Gozzer;00:42:23;M65;ORIENTEERING CREA ROSSA A.S.D.;0;
 2.;Nicolň;Zuffi;00:45:07;M65;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 3.;Giusto;Almerigogna;01:23:29;M65;SSD Gaja - Sezione Orientamento;0;
 4.;Rolando;Mattiuzzo;01:27:47;M65;A.S.D. ORIENTEERING G. GALILEI;0;
 1.;Emiliano;Corona;00:39:15;M21E;G.S. FORESTALE;0;
 2.;Ivan Ml;Boyadzhiev;00:40:49;M21E;MOK;0;
 3.;Jan;Dovc;00:42:29;M21E;OK TIVOLI;0;
 4.;Jure;Zmrzlikar;00:42:52;M21E;OK KOMENDA;0;
 5.;Jernej;Zorman;00:44:33;M21E;OK KOMENDA;0;
 6.;Benoit;Rauturier;00:46:19;M21E;A.S.D. ORIENTEERING G. GALILEI;0;
 7.;Andrej;Borstnik;00:53:21;M21E;OK TIVOLI;0;
 8.;Michele;Franco;00:53:29;M21E;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 9.;Alessandro;Giacchetto;00:57:19;M21E;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 10.;Bostjan;Cerin;00:57:23;M21E;OK TIVOLI;0;
 11.;Vid;Bogovic;00:57:33;M21A;OK BREZICE;0;
 12.;Denis;Kokelj;00:58:14;M21E;KAMNISKI ORIENTACIJSKI KLUB;0;
 13.;Matteo;Zoppč;00:58:45;M21E;PANDA ORIENTEERING VALS. A.S.D.;0;
 14.;Uros;Buric;00:59:02;M21E;OK RJZ VELENJE;0;
 15.;Noni Enrico;De;00:59:52;M21E;ORIENTEERING TARZO A.S.D.;0;
 16.;Vallier Edoardo;De;01:00:28;M21E;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 17.;Tibor;Mrak;01:00:47;M21E;OK AZIMUT;0;
 18.;Michele;Cera;01:00:52;M21E;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 19.;Nicola;Pilotto;01:01:54;M21E;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 20.;Leon;Kropivsek;01:03:16;M21E;MOK;0;
 21.;Leonardo;Scapin;01:05:15;M21E;ORIENTEERING TARZO A.S.D.;0;
 22.;Janez Elija;Kos;01:12:46;M21E;OK TIVOLI;0;
 23.;Ivo;Kete;01:13:21;M21A;PD AJDOVSCINA;0;
 24.;Stanko;Cufer;01:14:14;M21E;PD AJDOVSCINA;0;
 25.;Aljaz;Borstnik;01:16:56;M21E;OK TIVOLI;0;
 26.;Aljaz;Cerne;01:19:04;M21A;OK TIVOLI;0;
 27.;Valentin;Erzen;01:20:34;M21A;OK AZIMUT;0;
 28.;Lorenzo;Bartulovich;01:22:34;M21E;SSD Gaja - Sezione Orientamento;0;
 29.;Michael;Tremul;01:28:49;M21E;PUNTO K ORIENTEERING ASD;0;
 30.;Nejc;Mocnik;01:33:04;M21A;OK AZIMUT;0;
 31.;Daniele;Martignago;01:33:10;M21E;OK Montello ASD;0;
 32.;Elio;Golja;01:38:36;M21A;OK POLARIS;0;
 1.;Boris;Erzen;00:42:52;M21B;SKOFJELOSKI ORIENTACIJSKI KLUB;0;
 2.;Edoardo;Tona;00:43:55;M21B;ORIENTEERING TARZO A.S.D.;0;
 3.;Luka;Plavcak;00:44:18;M21B;SKOFJELOSKI ORIENTACIJSKI KLUB;0;
 4.;Janez;Sumecki;00:45:45;M21B;NO CLUB;0;
 5.;Michele;Cafagna;00:46:46;M21B;ORIENTEERING TRIESTE - A.S.D.;0;
 6.;Antenore;Bartulovich;00:49:11;M21B;SSD Gaja - Sezione Orientamento;0;
 7.;Vladan;Vukajlovic;00:49:56;M21B;OK AZIMUT;0;
 8.;Marko;Germani;00:50:32;M21B;SSD Gaja - Sezione Orientamento;0;
 9.;Blaz;Kovcic;00:51:56;M21B;OK AZIMUT;0;
 10.;Matteo;Sturni;00:52:01;M21B;ORIENTEERING TRIESTE - A.S.D.;0;
 11.;Davide;Chiocca;00:52:48;M21B;GRUPPO OR. CAI MONFALCONE;0;
 12.;Davide;Umari;00:53:27;M21B;SSD Gaja - Sezione Orientamento;0;
 13.;Marco;Leoni;00:53:31;M21B;SSD Gaja - Sezione Orientamento;0;
 14.;Paolo;Jerman;00:53:55;M21B;ORIENTEERING TRIESTE - A.S.D.;0;
 15.;Valter;Martignago;00:56:37;M21B;OK Montello ASD;0;
 16.;Borut;Seljak;00:57:21;M21B;OK KOMENDA;0;
 17.;Narek;Galstyan;01:01:24;M21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 18.;Guido;Parteli;01:06:19;M21B;A.S.D. FONZASO;0;
 19.;Giulio;Barelli;01:06:49;M21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 20.;Tigran;Aslanyan;01:07:13;M21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 21.;Alexander;Wolfger;01:12:28;M21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 22.;Sebastjan;Jemec;01:13:30;M21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 23.;Vanny;Cimarosti;01:16:16;M21B;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 24.;Staso;Turk;01:26:53;M21B;SKOFJELOSKI ORIENTACIJSKI KLUB;0;
 25.;Pierpaolo;Piccin;01:31:11;M21B;ORIENTEERING TARZO A.S.D.;0;
 26.;Puppo Igor;Del;01:53:34;M21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 1.;Giada;Corso;00:11:45;W10;A.S.D. FONZASO;0;
 2.;Nastja;Ferluga;00:15:00;W10;SSD Gaja - Sezione Orientamento;0;
 3.;Silvia;Ferigutti;00:15:39;W10;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 4.;Stella;Cignini;00:17:06;W10;PUNTO K ORIENTEERING ASD;0;
 1.;Nika;Ravnikar;00:12:33;W12;OK KOMENDA;0;
 2.;Ana Pia;Pogacar;00:14:49;W12;OK KOMENDA;0;
 3.;Elisa;Cafagna;00:16:12;W12;ORIENTEERING TRIESTE - A.S.D.;0;
 4.;Katarina;Anderluh;00:17:48;W12;OK POLARIS;0;
 5.;Iris;Colombo;00:18:25;W12;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 6.;Luisa Veronika;De;00:20:01;W12;SSD Gaja - Sezione Orientamento;0;
 6.;Francesca;Cereser;00:20:01;W12;CORIVORIVO ORIENTEERING ASD;0;
 8.;Giulia;Rossi;00:20:22;W12;A.S.D. FONZASO;0;
 9.;Joshna;Pipolo;00:20:26;W12;SSD Gaja - Sezione Orientamento;0;
 10.;Neza;Zupan;00:24:15;W12;OK POLARIS;0;
 11.;Emma;Caruso;00:24:21;W12;PUNTO K ORIENTEERING ASD;0;
 12.;Gaia;Ferrante;00:28:59;W12;A.S.D. ORIENTEERING G. GALILEI;0;
;Maria;Viviani;mp;W12;GR. OR. CAI XXX OTTOBRE ASD;3;
 1.;Laura;Giovanelli;00:27:36;W14;ORIENTEERING DOLOMITI;0;
 2.;Zala;Zavrl;00:29:46;W14;OK KOMENDA;0;
 3.;Luisa Tjasa;De;00:39:33;W14;SSD Gaja - Sezione Orientamento;0;
 4.;Nika;Poljansek;00:42:01;W14;OK AZIMUT;0;
 5.;Ana;Salamum;00:43:51;W14;OK POLARIS;0;
 6.;Clelia;Filesi;00:44:08;W14;A.S.D. ORIENTEERING G. GALILEI;0;
 7.;Sara;Mondin;00:44:43;W14;A.S.D. FONZASO;0;
 8.;Rebeka;Dovc;00:54:08;W14;OK TIVOLI;0;
 1.;Brina;Foski;00:32:52;W16;OK POLARIS;0;
 2.;Marjeta;Lipuzic;00:35:14;W16;OK KOMENDA;0;
 3.;Michela;Jerman;00:35:53;W16;ORIENTEERING TRIESTE - A.S.D.;0;
 4.;Monika;Ravnikar;00:36:12;W16;OK KOMENDA;0;
 5.;Jenny;Mies;00:37:35;W16;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 6.;Anja;Humar;00:51:34;W16;OK AZIMUT;0;
 7.;Melania;Tinelli;00:55:05;W16;A.S.D. ORIENTEERING G. GALILEI;0;
 8.;Giulia;Bernardi;00:59:44;W16;PUNTO K ORIENTEERING ASD;0;
 9.;Lara;Gantar;01:00:22;W16;OK AZIMUT;0;
 10.;Silvia;Favia;01:01:48;W16;A.S.D. ORIENTEERING G. GALILEI;0;
 11.;Cecilia;Nardi;01:06:19;W16;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 12.;Petra;Trcek;01:12:33;W16;OK AZIMUT;0;
 13.;Emy;Michelin;01:13:38;W16;A.S.D. ORIENTEERING G. GALILEI;0;
 1.;Anna;Giovanelli;00:50:31;W18;ORIENTEERING DOLOMITI;0;
 2.;Marta;Scapin;01:02:04;W18;ORIENTEERING TARZO A.S.D.;0;
 3.;Vallier Rugiada;De;01:02:19;W18;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 4.;Silvia;Minella;01:02:51;W18;A.S.D. FONZASO;0;
 5.;Irene;Cibin;01:12:09;W18;PUNTO K ORIENTEERING ASD;0;
 6.;Eva;Casagrande;01:14:01;W18;OK TIVOLI;0;
 7.;Ema;Radovan;01:20:19;W18;OK POLARIS;0;
 8.;Lisa;Salaris;01:27:49;W18;ORIENTEERING TRIESTE - A.S.D.;0;
 1.;Anka;Kuzmin;00:54:47;W35;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 2.;Chiara;Sepin;00:57:36;W35;SSD Gaja - Sezione Orientamento;0;
 3.;Marika;Mattiuzzo;01:01:14;W35;A.S.D. ORIENTEERING G. GALILEI;0;
 4.;Elena;Margiore;01:14:08;W35;ORIENTEERING TRIESTE - A.S.D.;0;
 5.;Irma;Pretnar;01:16:16;W35;KAMNISKI ORIENTACIJSKI KLUB;0;
 6.;Serena;Zacchigna;01:16:43;W35;ORIENTEERING TRIESTE - A.S.D.;0;
 7.;Maria Elena;Simonelli;01:21:01;W35;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 8.;Sara;Gaion;01:23:17;W35;ORIENTEERING TRIESTE - A.S.D.;0;
;Chiara;Daniel;mp;W35;OK Montello ASD;3;
;Stefania;Chialchia;mp;W35;SCI CLUB UDINE A.S.D.;3;
 1.;Cristina;Grabar;00:55:10;W45;U.S. PRIMIERO A.S.D.;0;
 2.;Marirosa;Hechich;00:55:11;W45;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 3.;Maria Pia;Virgolini;01:06:06;W45;ORIENTEERING TARZO A.S.D.;0;
 4.;Antonella;Mantovani;01:18:57;W45;SCI CLUB UDINE A.S.D.;0;
 5.;Valentina;Valdetara;01:20:27;W45;A.S.D. FONZASO;0;
 6.;Cristina;Ruini;01:21:50;W45;PUNTO K ORIENTEERING ASD;0;
 7.;Lorenzi Simonetta;De;01:27:10;W45;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 8.;Monica;Perissinotto;01:37:37;W45;A.S.D. ORIENTEERING G. GALILEI;0;
 9.;Draksler Ursa;Mrak;02:31:04;W45;PERMNANDELIC TRBOVLJE;0;
 10.;Mateja;Gjerek;02:33:05;W45;PERMNANDELIC TRBOVLJE;0;
 1.;Francesca;Guarato;00:25:11;W55;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 2.;Patrizia;Bordin;00:27:15;W55;A.S.D. ORIENTEERING G. GALILEI;0;
 3.;Morena;Mariotto;00:31:30;W55;A.S.D. ORIENTEERING G. GALILEI;0;
 4.;Annamaria;Abram;00:34:25;W55;ORIENTEERING CREA ROSSA A.S.D.;0;
 5.;Pierina;Vendrame;00:40:18;W55;ORIENTEERING TARZO A.S.D.;0;
 6.;Flavia;Costa;00:44:26;W55;VITTORIENT;0;
 7.;Marisa;Ferro;00:50:05;W55;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 8.;Donatella;Gratton;01:17:38;W55;GR. OR. CAI XXX OTTOBRE ASD;0;
 1.;Mojca;Flerin;00:44:33;W21A;KAMNISKI ORIENTACIJSKI KLUB;0;
 2.;Nusa;Jeram;00:53:48;W21A;OK AZIMUT;0;
 3.;Ajda;Flasker;00:55:28;W21A;OK KOMENDA;0;
 4.;Clizia;Zambiasi;00:58:51;W21A;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 5.;Ana;Pribakovic Borstnik;01:00:25;W21A;OK TIVOLI;0;
 6.;Ursa;Tomazin;01:01:44;W21A;OK AZIMUT;0;
 7.;Camilla;Scolini;01:05:47;W21A;PUNTO K ORIENTEERING ASD;0;
 8.;Jona;Mirnik;01:06:26;W21A;OK KOMENDA;0;
 9.;Federica;Anedda;01:07:11;W21A;A.S.D. ORIENTEERING G. GALILEI;0;
 10.;Alessia;Ciriani;01:07:56;W21A;"FRIULI MTB &amp;0;
 11.;Tajda;Foski;01:08:14;W21A;OK POLARIS;0;
 12.;Nicole;Anedda;01:16:42;W21A;A.S.D. ORIENTEERING G. GALILEI;0;
 13.;Sabrina;Romano;01:23:24;W21A;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;0;
 14.;Irene;Saggin;01:26:14;W21A;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 15.;Suzana;Drevensek;01:29:44;W21A;KAMNISKI ORIENTACIJSKI KLUB;0;
 16.;Arianna;Ridolfo;01:36:44;W21A;GR. OR. CAI XXX OTTOBRE ASD;0;
 17.;Margherita;Ruzzier;01:48:41;W21A;PUNTO K ORIENTEERING ASD;0;
 1.;Turk Lea;Hladky;00:26:36;W21B;SKOFJELOSKI ORIENTACIJSKI KLUB;0;
 2.;Lidija;Hribar;00:28:42;W21B;KAMNISKI ORIENTACIJSKI KLUB;0;
 3.;Ana;Plavcak;00:32:10;W21B;SKOFJELOSKI ORIENTACIJSKI KLUB;0;
 4.;Lorenza;Pravato;00:41:28;W21B;SSD Gaja - Sezione Orientamento;0;
 5.;Marjana;Rejec;00:44:29;W21B;OK AZIMUT;0;
 6.;Teresa;Torresan;00:44:42;W21B;C.S.I. ORIENTEERING TREVISO;0;
 7.;Seljak Alenka;Vuga;00:48:11;W21B;OK KOMENDA;0;
 8.;Barbara;Kmetec;00:50:13;W21B;KAMNISKI ORIENTACIJSKI KLUB;0;
 9.;Antonella;Sinigaglia;00:50:33;W21B;SSD Gaja - Sezione Orientamento;0;
 10.;Marina;Delise;00:58:55;W21B;ORIENTEERING TRIESTE - A.S.D.;0;
 11.;Ivana;Zago;00:59:22;W21B;GRUPPO OR. CAI MONFALCONE;0;
 12.;Marija;Kovac;01:00:31;W21B;PD AJDOVSCINA;0;
 13.;Antonella;Pacieri;01:03:45;W21B;ORIENTEERING DOLOMITI;0;
 14.;Monte Tiziana;De;01:04:37;W21B;GR. OR. CAI XXX OTTOBRE ASD;0;
 15.;Molin Paola;Dal;01:24:55;W21B;A.S.D. EREBUS ORIENTAMENTO VICENZA;0;
 16.;Lucia;Zacchigna;01:35:09;W21B;GR. OR. CAI XXX OTTOBRE ASD;0;
